Timestamp,"How often do you currently use any of the following? [Programming languages (R, Python, etc.)]","How often do you currently use any of the following? [Statistical models (regression, etc.)]","How often do you currently use any of the following? [Databases (SQL, Access, etc.)]","How often do you currently use any of the following? [Version control software (Git, SVG, etc.)]",How often do you currently use any of the following? [Unix shell (bash or other command line)],Please rate your level of agreement with the following statements [I know how to import data into R],Please rate your level of agreement with the following statements [I am comfortable editing and saving scripts],Please rate your level of agreement with the following statements [I am comfortable using R for projects],Please rate your level of agreement with the following statements [I know how to subset data by columns and rows],Please rate your level of agreement with the following statements [I am comfortable using R for reproducible research],"Please rate your level of agreement with the following statements [While working on a project, if I get stuck, I can find ways of overcoming the problem]",Please rate your level of agreement with the following statements [I can immediately apply what I learned at this workshop],Please rate your level of agreement with the following statements [I know how to search for answers to my technical questions online],Please rate your level of satisfaction with your current data management and analysis workflow
Timestamp,coder,models,rdbms,version_control,shell_cli,import_data,edit_scripts,projects,subset_data,reproducibility,overcome_problems,apply_learning,answer_technical_questions,data_mgt
8/25/2020 16:02,Less than once per year,Several Times per year,Several Times per year,Never,Never,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral
8/25/2020 16:50,Several Times per year,Several Times per year,Several Times per year,Never,Never,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Unsatisfied
8/25/2020 17:01,Daily,Monthly,Less than once per year,Several Times per year,Weekly,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Unsatisfied
8/25/2020 17:33,Less than once per year,Several Times per year,Never,Never,Several Times per year,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral
8/26/2020 7:13,Weekly,Several Times per year,Never,Never,Never,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Unsatisfied
8/26/2020 7:16,Monthly,Weekly,Never,Never,Never,Strongly agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Satisfied
8/26/2020 9:46,Several Times per year,Several Times per year,Never,Never,Never,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Satisfied
8/26/2020 10:52,Weekly,Monthly,Never,Daily,Daily,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Unsatisfied
8/26/2020 11:01,Several Times per year,Less than once per year,Never,Never,Never,Agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Nor sure
8/26/2020 12:54,Weekly,Weekly,Never,Never,Never,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral
8/26/2020 19:45,Monthly,Daily,Never,Monthly,Never,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Satisfied
8/27/2020 5:41,Never,Less than once per year,Never,Several Times per year,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Unsatisfied
8/27/2020 16:46,Monthly,Monthly,Monthly,Monthly,Less than once per year,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Unsatisfied
8/28/2020 12:31,Several Times per year,Several Times per year,Never,Never,Never,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Unsatisfied
8/28/2020 15:08,Weekly,Several Times per year,Less than once per year,Never,Several Times per year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Unsatisfied
8/29/2020 11:16,Never,Several Times per year,Never,Never,Never,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Unsatisfied
8/29/2020 18:22,Monthly,Weekly,Never,Several Times per year,Less than once per year,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Unsatisfied
8/30/2020 1:55,Less than once per year,Less than once per year,Never,Never,Never,Agree,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Agree,Nor sure
8/30/2020 10:51,Never,Never,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Unsatisfied
8/31/2020 8:55,Monthly,Several Times per year,Less than once per year,Weekly,Monthly,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Unsatisfied
8/31/2020 9:37,Never,Less than once per year,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Nor sure
8/31/2020 9:49,Never,Several Times per year,Less than once per year,Never,Never,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Unsatisfied
8/31/2020 14:01,Never,Monthly,Less than once per year,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral
8/31/2020 14:37,Daily,Daily,Never,Daily,Daily,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Satisfied
8/31/2020 16:16,Never,Several Times per year,Less than once per year,Never,Never,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Satisfied
8/31/2020 16:28,Several Times per year,Several Times per year,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Unsatisfied
